State,Year,University/College,Student_Enrollment,Violent_Crime,Property_Crime,Violent_Crime_Rate,Property_Crime_Rate
Alabama,2021,University of Alabama:,33969.5,35.0,334.0,0.5501762036063366,5.154850523215405
Alabama,2021,University of North Alabama,9185.0,5.0,25.0,0.5443658138268918,2.721829069134458
Alabama,2021,University of South Alabama,16398.0,12.0,35.0,0.7317965605561654,2.134406634955482
Alabama,2022,Alabama State University,4478.0,0.0,0.0,0.0,0.0
Alabama,2022,Jacksonville State University,10752.0,9.0,27.0,0.8370535714285714,2.5111607142857144
Alabama,2022,Samford University,6160.0,3.0,20.0,0.487012987012987,3.246753246753247
Alabama,2022,Southern Union State Community College,5789.0,0.0,0.0,0.0,0.0
Alabama,2022,Troy University,20866.0,6.0,38.0,0.2875491229751749,1.8211444455094412
Alabama,2022,University of Alabama:,26545.666666666668,82.0,567.0,0.9322101424921914,6.811957531966986
Alabama,2022,University of Montevallo,2960.0,0.0,0.0,0.0,0.0
Alabama,2022,University of North Alabama,10003.0,7.0,32.0,0.6997900629811056,3.199040287913626
Alabama,2022,University of South Alabama,16311.0,23.0,74.0,1.410091349396113,4.536815645883146
Alabama,2022,University of West Alabama,8711.0,1.0,20.0,0.1147973826196762,2.2959476523935254
Alabama,2022,Wallace State Community College,6298.0,0.0,10.0,0.0,1.5878056525881232
Alabama,2023,Alabama A&M University,6681.0,4.0,71.0,0.5987127675497681,10.627151624008382
Alabama,2023,Auburn University,6309.0,0.0,37.0,0.0,5.864637818988746
Alabama,2023,Jacksonville State University,11032.0,5.0,54.0,0.4532269760696157,4.894851341551849
Alabama,2023,Lurleen B. Wallace Community College,2419.0,1.0,0.0,0.413393964448119,0.0
Alabama,2023,Southern Union State Community College,5815.0,0.0,2.0,0.0,0.3439380911435941
Alabama,2023,Troy University,18782.0,4.0,30.0,0.2129698647641358,1.5972739857310192
Alabama,2023,University of Alabama:,26477.333333333332,65.0,561.0,0.7920358949670799,6.94756098827239
Alabama,2023,University of North Alabama,10645.0,1.0,33.0,0.0939408172851103,3.100046970408642
Alabama,2023,University of South Alabama,16101.0,12.0,57.0,0.7452953232718464,3.540152785541271
Alabama,2023,University of West Alabama,8789.0,1.0,14.0,0.113778586869951,1.592900216179315
Alaska,2021,University of Alaska:,15969.5,10.0,51.0,0.3408451991088759,1.825837052589532
Alaska,2022,University of Alaska,10725.0,2.0,40.0,0.1864801864801865,3.7296037296037294
Alaska,2023,University of Alaska:,14086.0,12.0,78.0,0.432915816190363,2.560339407193644
Arizona,2021,Arizona Western College,11646.0,1.0,2.0,0.0858663918942126,0.1717327837884252
Arizona,2021,Central Arizona College,8093.0,0.0,3.0,0.0,0.3706907203756332
Arizona,2021,Maricopa Community College2,,4.0,94.0,,
Arizona,2021,Northern Arizona University,34290.0,11.0,160.0,0.3207932341790609,4.666083406240887
Arizona,2021,Pima Community College,36384.0,2.0,41.0,0.0549692172383465,1.1268689533861038
Arizona,2022,Arizona State University,161117.0,44.0,1121.0,0.2730934662388202,6.95767671940267
Arizona,2022,Central Arizona College,6317.0,0.0,3.0,0.0,0.4749089757796422
Arizona,2022,Northern Arizona University,33349.0,19.0,191.0,0.5697322258538488,5.727308165162373
Arizona,2022,Pima Community College,32802.0,1.0,51.0,0.0304859459789037,1.55478324492409
Arizona,2022,University of Arizona,52329.0,54.0,718.0,1.031932580404747,13.720881346863116
Arizona,2023,Arizona State University,170448.0,46.0,712.0,0.2698770299446165,4.177227072186239
Arizona,2023,Arizona Western College,12342.0,0.0,3.0,0.0,0.2430724355858045
Arizona,2023,Maricopa Community College2,,1.0,74.0,,
Arizona,2023,Northern Arizona University,32063.0,8.0,126.0,0.2495087795901818,3.929763278545364
Arizona,2023,Pima Community College,32415.0,1.0,48.0,0.0308499151627333,1.4807959278111986
Arkansas,2021,Arkansas State University:,11594.5,8.0,33.0,0.213196887325445,1.138318234856911
Arkansas,2021,Arkansas Tech University,13316.0,3.0,27.0,0.2252928807449684,2.027635926704716
Arkansas,2021,Southern Arkansas University,5249.0,0.0,9.0,0.0,1.7146123071061157
Arkansas,2021,Southern Arkansas University Tech,1725.0,0.0,1.0,0.0,0.5797101449275363
Arkansas,2021,University of Arkansas:,9843.75,27.0,229.0,1.0145003554735894,8.804966536427994
Arkansas,2021,University of Central Arkansas,12333.0,2.0,44.0,0.1621665450417579,3.567663990918674
Arkansas,2022,Arkansas State University:,11195.0,2.0,32.0,0.0541976044658826,0.8671616714541218
Arkansas,2022,Arkansas Tech University,12257.0,6.0,52.0,0.4895161948274455,4.242473688504528
Arkansas,2022,Henderson State University,3610.0,1.0,13.0,0.2770083102493075,3.601108033240997
Arkansas,2022,Southern Arkansas University,5209.0,2.0,13.0,0.3839508542906508,2.49568055288923
Arkansas,2022,Southern Arkansas University Tech,1588.0,0.0,1.0,0.0,0.6297229219143576
