State,Year,County,Violent_Crime,Property_Crime
Alabama ,2021,Autauga,62.0,265.0
Alabama ,2021,Barbour,19.0,55.0
Alabama ,2021,Bibb,26.0,104.0
Alabama ,2021,Blount,66.0,259.0
Alabama ,2021,Cherokee,71.0,339.0
Alabama ,2021,Clarke,63.0,99.0
Alabama ,2021,Clay,25.0,65.0
Alabama ,2021,Cleburne,18.0,188.0
Alabama ,2021,Colbert,61.0,241.0
Alabama ,2021,Covington,8.0,101.0
Alabama ,2021,Crenshaw,15.0,74.0
Alabama ,2021,Cullman,109.0,918.0
Alabama ,2021,Dallas,81.0,302.0
Alabama ,2021,DeKalb,56.0,169.0
Alabama ,2021,Etowah,27.0,121.0
Alabama ,2021,Fayette,3.0,27.0
Alabama ,2021,Geneva,23.0,151.0
Alabama ,2021,Henry,21.0,51.0
Alabama ,2021,Houston,11.0,113.0
Alabama ,2021,Lauderdale,44.0,428.0
Alabama ,2021,Lawrence,22.0,76.0
Alabama ,2021,Lowndes,64.0,224.0
Alabama ,2021,Macon,5.0,16.0
Alabama ,2021,Marengo,7.0,38.0
Alabama ,2021,Marion,2.0,34.0
Alabama ,2021,Marshall,37.0,295.0
Alabama ,2021,Mobile,265.0,1288.0
Alabama ,2021,Monroe,18.0,39.0
Alabama ,2021,Randolph,34.0,210.0
Alabama ,2021,Shelby,5.0,24.0
Alabama ,2021,St. Clair,42.0,121.0
Alabama ,2021,Talladega,90.0,406.0
Alabama ,2021,Tallapoosa,34.0,83.0
Alabama ,2021,Washington,21.0,99.0
Alabama ,2021,Winston,9.0,88.0
Alabama ,2022,Autauga,62.0,228.0
Alabama ,2022,Barbour,13.0,24.0
Alabama ,2022,Bibb,26.0,94.0
Alabama ,2022,Blount,103.0,571.0
Alabama ,2022,Calhoun,253.0,308.0
Alabama ,2022,Chambers,26.0,111.0
Alabama ,2022,Cherokee,52.0,280.0
Alabama ,2022,Chilton,108.0,374.0
Alabama ,2022,Choctaw,11.0,74.0
Alabama ,2022,Clarke,35.0,95.0
Alabama ,2022,Clay,15.0,48.0
Alabama ,2022,Cleburne,13.0,164.0
Alabama ,2022,Coffee,35.0,148.0
Alabama ,2022,Colbert,58.0,195.0
Alabama ,2022,Coosa,31.0,90.0
Alabama ,2022,Covington,0.0,0.0
Alabama ,2022,Crenshaw,27.0,84.0
Alabama ,2022,Cullman,92.0,730.0
Alabama ,2022,Dale,15.0,108.0
Alabama ,2022,Dallas,61.0,264.0
Alabama ,2022,DeKalb,16.0,109.0
Alabama ,2022,Elmore,31.0,237.0
Alabama ,2022,Etowah,6.0,47.0
Alabama ,2022,Fayette,10.0,31.0
Alabama ,2022,Franklin,41.0,178.0
Alabama ,2022,Geneva,5.0,76.0
Alabama ,2022,Greene,5.0,24.0
Alabama ,2022,Henry,34.0,100.0
Alabama ,2022,Houston,128.0,528.0
Alabama ,2022,Jefferson,791.0,2701.0
Alabama ,2022,Lauderdale,104.0,431.0
Alabama ,2022,Lawrence,21.0,75.0
Alabama ,2022,Lee,162.0,667.0
Alabama ,2022,Lowndes,7.0,50.0
Alabama ,2022,Macon,14.0,20.0
