State,Year,Metropolitan/Nonmetropolitan,County,Violent_Crime,Murder_and_nonnegligent_manslaughter,Rape1,Robbery,Aggravated_assault,Property_Crime,Burglary,Larceny-theft,Motor_vehicle_theft,Arson2
Alabama,2020,METROPOLITAN COUNTIES,Autauga,59.0,3.0,14,3,39,267.0,53,178,36,
Alabama,2020,NONMETROPOLITAN COUNTIES,Cherokee,67.0,1.0,12,2,52,313.0,80,179,54,
Alabama,2020,NONMETROPOLITAN COUNTIES,Clarke,42.0,2.0,6,2,32,53.0,27,17,9,
Alabama,2020,NONMETROPOLITAN COUNTIES,Marengo,26.0,6.0,2,1,17,88.0,27,42,19,
Arizona,2020,METROPOLITAN COUNTIES,Mohave,153.0,11.0,10,7,125,1637.0,445,"1,018",174,
Arizona,2020,METROPOLITAN COUNTIES,Pima4,922.0,23.0,59,145,695,7020.0,"1,036","5,494",490,64.0
Arizona,2020,METROPOLITAN COUNTIES,Pinal,269.0,7.0,2,18,242,1438.0,328,921,189,12.0
Arizona,2020,METROPOLITAN COUNTIES,Yavapai,193.0,1.0,15,2,175,837.0,158,578,101,
Arizona,2020,METROPOLITAN COUNTIES,Yuma,155.0,8.0,25,6,116,830.0,243,480,107,11.0
Arizona,2020,NONMETROPOLITAN COUNTIES,Gila,186.0,6.0,4,2,174,370.0,52,236,82,
Arizona,2020,NONMETROPOLITAN COUNTIES,Graham,9.0,0.0,0,0,9,98.0,17,70,11,
Arizona,2020,NONMETROPOLITAN COUNTIES,Greenlee,4.0,1.0,2,0,1,27.0,13,11,3,0.0
Arizona,2020,NONMETROPOLITAN COUNTIES,Navajo,46.0,3.0,0,1,42,261.0,101,116,44,
Arizona,2020,NONMETROPOLITAN COUNTIES,Santa Cruz,3.0,0.0,0,0,3,104.0,16,67,21,
Arkansas,2020,METROPOLITAN COUNTIES,Benton,149.0,1.0,21,4,123,494.0,191,238,65,3.0
Arkansas,2020,METROPOLITAN COUNTIES,Cleveland,40.0,0.0,2,1,37,111.0,40,58,13,0.0
Arkansas,2020,METROPOLITAN COUNTIES,Craighead,55.0,0.0,9,3,43,305.0,125,143,37,7.0
Arkansas,2020,METROPOLITAN COUNTIES,Crawford,46.0,0.0,3,0,43,214.0,32,161,21,1.0
Arkansas,2020,METROPOLITAN COUNTIES,Crittenden,158.0,6.0,24,9,119,236.0,63,145,28,9.0
Arkansas,2020,METROPOLITAN COUNTIES,Faulkner,155.0,1.0,25,2,127,791.0,172,496,123,8.0
Arkansas,2020,METROPOLITAN COUNTIES,Franklin,63.0,4.0,6,0,53,144.0,57,68,19,0.0
Arkansas,2020,METROPOLITAN COUNTIES,Garland,295.0,0.0,38,10,247,1299.0,544,621,134,0.0
Arkansas,2020,METROPOLITAN COUNTIES,Grant,19.0,0.0,5,2,12,212.0,37,164,11,0.0
Arkansas,2020,METROPOLITAN COUNTIES,Jefferson,121.0,1.0,16,6,98,359.0,81,211,67,4.0
Arkansas,2020,METROPOLITAN COUNTIES,Lincoln,3.0,0.0,2,0,1,28.0,4,18,6,0.0
Arkansas,2020,METROPOLITAN COUNTIES,Little River,24.0,0.0,5,0,19,67.0,11,41,15,2.0
Arkansas,2020,METROPOLITAN COUNTIES,Lonoke,108.0,4.0,18,2,84,471.0,71,284,116,4.0
Arkansas,2020,METROPOLITAN COUNTIES,Madison,63.0,0.0,13,2,48,111.0,35,60,16,4.0
Arkansas,2020,METROPOLITAN COUNTIES,Miller,54.0,0.0,12,1,41,198.0,69,105,24,0.0
Arkansas,2020,METROPOLITAN COUNTIES,Perry,39.0,0.0,4,0,35,93.0,19,74,0,0.0
Arkansas,2020,METROPOLITAN COUNTIES,Poinsett,50.0,0.0,10,2,38,118.0,38,67,13,4.0
Arkansas,2020,METROPOLITAN COUNTIES,Pulaski,641.0,7.0,33,29,572,1595.0,318,"1,050",227,18.0
Arkansas,2020,METROPOLITAN COUNTIES,Saline,185.0,0.0,25,7,153,649.0,256,293,100,5.0
Arkansas,2020,METROPOLITAN COUNTIES,Sebastian,51.0,0.0,7,1,43,141.0,40,86,15,3.0
Arkansas,2020,METROPOLITAN COUNTIES,Washington,190.0,3.0,20,1,166,571.0,137,364,70,3.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Arkansas,22.0,0.0,2,0,20,78.0,6,46,26,1.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Ashley,23.0,1.0,2,1,19,113.0,16,79,18,1.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Baxter,66.0,4.0,17,0,45,493.0,94,351,48,2.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Boone,195.0,4.0,45,2,144,205.0,45,127,33,2.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Bradley,14.0,0.0,2,0,12,49.0,25,21,3,1.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Calhoun,13.0,0.0,2,0,11,50.0,19,25,6,0.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Carroll,41.0,2.0,1,0,38,149.0,27,78,44,5.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Chicot,4.0,0.0,2,0,2,78.0,12,66,0,1.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Clark,12.0,0.0,4,0,8,56.0,21,29,6,1.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Cleburne,153.0,1.0,16,2,134,311.0,104,175,32,13.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Columbia,41.0,3.0,2,0,36,81.0,16,56,9,1.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Conway,56.0,0.0,6,0,50,217.0,38,160,19,7.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Drew,21.0,2.0,3,2,14,117.0,42,60,15,2.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Fulton,25.0,1.0,5,0,19,59.0,0,52,7,2.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Hempstead,41.0,0.0,7,3,31,138.0,25,92,21,0.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Howard,18.0,1.0,2,1,14,29.0,16,12,1,2.0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Independence,196.0,2.0,40,6,148,421.0,119,248,54,13.0
