State,Year,University/College,Campus,Student_Enrollment,Violent_Crime,Murder_and_nonnegligent_manslaughter,Rape2,Robbery,Aggravated_assault,Property_Crime,Burglary,Larceny-_theft,Motor_vehicle_theft,Arson3,Violent_Crime_Rate,Property_Crime_Rate
Alabama,2020,,,,,,,,,,,,,,,
Alaska,2020,University of Alaska:,Anchorage,23371.0,2.0,0.0,1.0,1.0,0.0,42.0,6.0,33,3.0,1.0,0.0855761413717855,1.7970989688074963
Alaska,2020,University of Alaska:,Fairbanks,12297.0,1.0,0.0,1.0,0.0,0.0,25.0,1.0,22,2.0,0.0,0.0813206473123526,2.033016182808815
Arizona,2020,Arizona State University,Main Campus,139085.0,16.0,0.0,10.0,0.0,6.0,462.0,42.0,406,14.0,1.0,0.1150375669554588,3.3217097458388753
Arizona,2020,Arizona Western College5,,11521.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6,0.0,0.0,0.0,0.5207881260307266
Arizona,2020,Central Arizona College5,,8518.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6,1.0,1.0,0.0,0.8217891523831885
Arizona,2020,Northern Arizona University,,34934.0,17.0,0.0,12.0,1.0,4.0,162.0,6.0,156,0.0,1.0,0.4866319345050667,4.6373160817541645
Arizona,2020,Pima Community College,,33708.0,1.0,0.0,0.0,0.0,1.0,29.0,7.0,21,1.0,0.0,0.0296665480004746,0.8603298920137653
Arkansas,2020,Arkansas State University:,Beebe,4716.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2,1.0,0.0,0.0,0.6361323155216285
Arkansas,2020,Arkansas State University:,Jonesboro,18977.0,9.0,0.0,1.0,1.0,7.0,26.0,4.0,22,0.0,0.0,0.4742583126943142,1.3700795700057964
Arkansas,2020,Arkansas State University:,Newport,4869.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.2053809817210926
Arkansas,2020,Arkansas Tech University,,13722.0,3.0,0.0,3.0,0.0,0.0,38.0,5.0,33,0.0,0.0,0.2186270222999563,2.769275615799446
Arkansas,2020,Henderson State University,,4565.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,9,2.0,0.0,0.0,3.2858707557502735
Arkansas,2020,Southern Arkansas University,,5182.0,3.0,2.0,1.0,0.0,0.0,20.0,3.0,17,0.0,0.0,0.5789270551910459,3.85951370127364
Arkansas,2020,Southern Arkansas University Tech,,1968.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1,0.0,0.0,1.016260162601626,0.508130081300813
Arkansas,2020,University of Arkansas:,Fayetteville,30459.0,5.0,0.0,2.0,1.0,2.0,139.0,13.0,94,32.0,0.0,0.1641550937325585,4.563511605765126
Arkansas,2020,University of Arkansas:,Medical Sciences,2996.0,5.0,0.0,1.0,0.0,4.0,90.0,1.0,86,3.0,0.0,1.6688918558077437,30.040053404539385
Arkansas,2020,University of Arkansas:,Monticello,3716.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12,0.0,0.0,0.0,3.2292787944025836
Arkansas,2020,University of Arkansas Community College at Morrilton,,2475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Arkansas,2020,University of Central Arkansas,,12741.0,1.0,0.0,0.0,0.0,1.0,45.0,5.0,40,0.0,2.0,0.0784867749784161,3.531904874028726
California,2020,Allan Hancock College,,15587.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0641560274587797
California,2020,California State Polytechnic University:,Pomona,28547.0,2.0,0.0,1.0,0.0,1.0,77.0,18.0,54,5.0,0.0,0.0700599012155392,2.697306196798263
California,2020,California State Polytechnic University:,San Luis Obispo,23278.0,6.0,0.0,3.0,0.0,3.0,101.0,12.0,83,6.0,1.0,0.2577541025861328,4.338860726866569
California,2020,California State University:,Bakersfield,12944.0,1.0,0.0,1.0,0.0,0.0,28.0,3.0,24,1.0,0.0,0.0772558714462299,2.1631644004944377
California,2020,California State University:,Channel Islands,8348.0,2.0,0.0,1.0,0.0,1.0,28.0,1.0,27,0.0,0.0,0.2395783421178725,3.3540967896502156
California,2020,California State University:,Chico,19323.0,3.0,0.0,0.0,0.0,3.0,66.0,6.0,58,2.0,4.0,0.1552553951249806,3.415618692749573
California,2020,California State University:,Dominguez Hills,18196.0,4.0,0.0,3.0,0.0,1.0,25.0,13.0,12,0.0,1.0,0.2198285337436799,1.3739283358979997
California,2020,California State University:,East Bay,18549.0,4.0,0.0,3.0,1.0,0.0,26.0,8.0,17,1.0,0.0,0.2156450482505795,1.401692813628767
California,2020,California State University:,Fresno,26765.0,3.0,0.0,2.0,1.0,0.0,107.0,22.0,78,7.0,0.0,0.1120866803661498,3.997758266392677
California,2020,California State University:,Fullerton,46588.0,4.0,0.0,2.0,0.0,2.0,65.0,11.0,50,4.0,0.0,0.0858590194899974,1.395209066712458
California,2020,California State University:,Long Beach,41344.0,4.0,0.0,1.0,3.0,0.0,70.0,14.0,50,6.0,0.0,0.0967492260061919,1.6931114551083593
California,2020,California State University:,Los Angeles,29963.0,3.0,0.0,2.0,1.0,0.0,45.0,2.0,40,3.0,0.0,0.1001234856322798,1.5018522844841973
California,2020,California State University:,Monterey Bay,8476.0,6.0,0.0,3.0,0.0,3.0,39.0,16.0,21,2.0,0.0,0.7078810759792356,4.601226993865031
