State,Year,Metropolitan/Nonmetropolitan,County,"Violent 
Crime",Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,"Property 
Crime",Burglary,Larceny-theft,Motor vehicle theft,Arson2
Alabama,2020,METROPOLITAN COUNTIES,Autauga,59,3,14,3,39,267,53,178,36,
Alabama,2020,NONMETROPOLITAN COUNTIES,Cherokee,67,1,12,2,52,313,80,179,54,
Alabama,2020,NONMETROPOLITAN COUNTIES,Clarke,42,2,6,2,32,53,27,17,9,
Alabama,2020,NONMETROPOLITAN COUNTIES,Marengo,26,6,2,1,17,88,27,42,19,
Arizona,2020,METROPOLITAN COUNTIES,Mohave,153,11,10,7,125,"1,637",445,"1,018",174,
Arizona,2020,METROPOLITAN COUNTIES,Pima4,922,23,59,145,695,"7,020","1,036","5,494",490,64
Arizona,2020,METROPOLITAN COUNTIES,Pinal,269,7,2,18,242,"1,438",328,921,189,12
Arizona,2020,METROPOLITAN COUNTIES,Yavapai,193,1,15,2,175,837,158,578,101,
Arizona,2020,METROPOLITAN COUNTIES,Yuma,155,8,25,6,116,830,243,480,107,11
Arizona,2020,NONMETROPOLITAN COUNTIES,Gila,186,6,4,2,174,370,52,236,82,
Arizona,2020,NONMETROPOLITAN COUNTIES,Graham,9,0,0,0,9,98,17,70,11,
Arizona,2020,NONMETROPOLITAN COUNTIES,Greenlee,4,1,2,0,1,27,13,11,3,0
Arizona,2020,NONMETROPOLITAN COUNTIES,Navajo,46,3,0,1,42,261,101,116,44,
Arizona,2020,NONMETROPOLITAN COUNTIES,Santa Cruz,3,0,0,0,3,104,16,67,21,
Arkansas,2020,METROPOLITAN COUNTIES,Benton,149,1,21,4,123,494,191,238,65,3
Arkansas,2020,METROPOLITAN COUNTIES,Cleveland,40,0,2,1,37,111,40,58,13,0
Arkansas,2020,METROPOLITAN COUNTIES,Craighead,55,0,9,3,43,305,125,143,37,7
Arkansas,2020,METROPOLITAN COUNTIES,Crawford,46,0,3,0,43,214,32,161,21,1
Arkansas,2020,METROPOLITAN COUNTIES,Crittenden,158,6,24,9,119,236,63,145,28,9
Arkansas,2020,METROPOLITAN COUNTIES,Faulkner,155,1,25,2,127,791,172,496,123,8
Arkansas,2020,METROPOLITAN COUNTIES,Franklin,63,4,6,0,53,144,57,68,19,0
Arkansas,2020,METROPOLITAN COUNTIES,Garland,295,0,38,10,247,"1,299",544,621,134,0
Arkansas,2020,METROPOLITAN COUNTIES,Grant,19,0,5,2,12,212,37,164,11,0
Arkansas,2020,METROPOLITAN COUNTIES,Jefferson,121,1,16,6,98,359,81,211,67,4
Arkansas,2020,METROPOLITAN COUNTIES,Lincoln,3,0,2,0,1,28,4,18,6,0
Arkansas,2020,METROPOLITAN COUNTIES,Little River,24,0,5,0,19,67,11,41,15,2
Arkansas,2020,METROPOLITAN COUNTIES,Lonoke,108,4,18,2,84,471,71,284,116,4
Arkansas,2020,METROPOLITAN COUNTIES,Madison,63,0,13,2,48,111,35,60,16,4
Arkansas,2020,METROPOLITAN COUNTIES,Miller,54,0,12,1,41,198,69,105,24,0
Arkansas,2020,METROPOLITAN COUNTIES,Perry,39,0,4,0,35,93,19,74,0,0
Arkansas,2020,METROPOLITAN COUNTIES,Poinsett,50,0,10,2,38,118,38,67,13,4
Arkansas,2020,METROPOLITAN COUNTIES,Pulaski,641,7,33,29,572,"1,595",318,"1,050",227,18
Arkansas,2020,METROPOLITAN COUNTIES,Saline,185,0,25,7,153,649,256,293,100,5
Arkansas,2020,METROPOLITAN COUNTIES,Sebastian,51,0,7,1,43,141,40,86,15,3
Arkansas,2020,METROPOLITAN COUNTIES,Washington,190,3,20,1,166,571,137,364,70,3
Arkansas,2020,NONMETROPOLITAN COUNTIES,Arkansas,22,0,2,0,20,78,6,46,26,1
Arkansas,2020,NONMETROPOLITAN COUNTIES,Ashley,23,1,2,1,19,113,16,79,18,1
Arkansas,2020,NONMETROPOLITAN COUNTIES,Baxter,66,4,17,0,45,493,94,351,48,2
Arkansas,2020,NONMETROPOLITAN COUNTIES,Boone,195,4,45,2,144,205,45,127,33,2
Arkansas,2020,NONMETROPOLITAN COUNTIES,Bradley,14,0,2,0,12,49,25,21,3,1
Arkansas,2020,NONMETROPOLITAN COUNTIES,Calhoun,13,0,2,0,11,50,19,25,6,0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Carroll,41,2,1,0,38,149,27,78,44,5
Arkansas,2020,NONMETROPOLITAN COUNTIES,Chicot,4,0,2,0,2,78,12,66,0,1
Arkansas,2020,NONMETROPOLITAN COUNTIES,Clark,12,0,4,0,8,56,21,29,6,1
Arkansas,2020,NONMETROPOLITAN COUNTIES,Cleburne,153,1,16,2,134,311,104,175,32,13
Arkansas,2020,NONMETROPOLITAN COUNTIES,Columbia,41,3,2,0,36,81,16,56,9,1
Arkansas,2020,NONMETROPOLITAN COUNTIES,Conway,56,0,6,0,50,217,38,160,19,7
Arkansas,2020,NONMETROPOLITAN COUNTIES,Drew,21,2,3,2,14,117,42,60,15,2
Arkansas,2020,NONMETROPOLITAN COUNTIES,Fulton,25,1,5,0,19,59,0,52,7,2
Arkansas,2020,NONMETROPOLITAN COUNTIES,Hempstead,41,0,7,3,31,138,25,92,21,0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Howard,18,1,2,1,14,29,16,12,1,2
Arkansas,2020,NONMETROPOLITAN COUNTIES,Independence,196,2,40,6,148,421,119,248,54,13
Arkansas,2020,NONMETROPOLITAN COUNTIES,Izard,60,0,10,1,49,192,68,112,12,1
Arkansas,2020,NONMETROPOLITAN COUNTIES,Jackson,37,1,8,2,26,133,9,86,38,0
Arkansas,2020,NONMETROPOLITAN COUNTIES,Johnson,81,0,19,2,60,94,42,45,7,1
Arkansas,2020,NONMETROPOLITAN COUNTIES,Lee,11,1,2,0,8,110,27,67,16,11
Arkansas,2020,NONMETROPOLITAN COUNTIES,Logan,53,0,4,1,48,171,48,103,20,1
Arkansas,2020,NONMETROPOLITAN COUNTIES,Mississippi,37,0,4,1,32,319,114,148,57,3
