State,Year,University/College,Campus,"Student 
Enrollment1","Violent 
Crime",Murder and nonnegligent manslaughter,Rape2,Robbery,Aggravated assault,"Property 
Crime",Burglary,"Larceny-
theft",Motor vehicle theft,Arson3
Alabama,2020,,,,,,,,,,,,,
Alaska,2020,University of Alaska:,Anchorage,"23,371",2,0,1,1,0,42,6,33,3,1
Alaska,2020,University of Alaska:,Fairbanks,"12,297",1,0,1,0,0,25,1,22,2,0
Arizona,2020,Arizona State University,Main Campus,"139,085",16,0,10,0,6,462,42,406,14,1
Arizona,2020,Arizona Western College5,,"11,521",0,0,0,0,0,6,0,6,0,0
Arizona,2020,Central Arizona College5,,"8,518",0,0,0,0,0,7,0,6,1,1
Arizona,2020,Northern Arizona University,,"34,934",17,0,12,1,4,162,6,156,0,1
Arizona,2020,Pima Community College,,"33,708",1,0,0,0,1,29,7,21,1,0
Arkansas,2020,Arkansas State University:,Beebe,"4,716",0,0,0,0,0,3,0,2,1,0
Arkansas,2020,Arkansas State University:,Jonesboro,"18,977",9,0,1,1,7,26,4,22,0,0
Arkansas,2020,Arkansas State University:,Newport,"4,869",0,0,0,0,0,1,0,1,0,0
Arkansas,2020,Arkansas Tech University,,"13,722",3,0,3,0,0,38,5,33,0,0
Arkansas,2020,Henderson State University,,"4,565",0,0,0,0,0,15,4,9,2,0
Arkansas,2020,Southern Arkansas University,,"5,182",3,2,1,0,0,20,3,17,0,0
Arkansas,2020,Southern Arkansas University Tech,,"1,968",2,0,2,0,0,1,0,1,0,0
Arkansas,2020,University of Arkansas:,Fayetteville,"30,459",5,0,2,1,2,139,13,94,32,0
Arkansas,2020,University of Arkansas:,Medical Sciences,"2,996",5,0,1,0,4,90,1,86,3,0
Arkansas,2020,University of Arkansas:,Monticello,"3,716",0,0,0,0,0,12,0,12,0,0
Arkansas,2020,University of Arkansas Community College at Morrilton,,"2,475",0,0,0,0,0,0,0,0,0,0
Arkansas,2020,University of Central Arkansas,,"12,741",1,0,0,0,1,45,5,40,0,2
